"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.066446,0.24282,-0.0012043,-0.00097127,1,0.232,0.95,0,-0.768
-0.06773,0.23629,-0.0013145,-0.00086313,1,0.234,0.95,0,-0.766
-0.068347,0.23288,-0.0014471,-0.00080694,1,0.236,0.95,0,-0.764
-0.068964,0.22948,-0.0015797,-0.00075074,1,0.238,0.95,0,-0.762
-0.069581,0.22608,-0.0017123,-0.00069455,1,0.24,0.95,0,-0.76
-0.069187,0.22833,-0.0017924,-0.0007265,1,0.242,0.95,0,-0.758
-0.068793,0.23058,-0.0018725,-0.00075846,1,0.244,0.95,0,-0.756
-0.0684,0.23283,-0.0019526,-0.00079042,1,0.246,0.95,0,-0.754
-0.067301,0.23851,-0.0019479,-0.00087707,1,0.248,0.95,0,-0.752
-0.065851,0.24589,-0.001901,-0.00099106,1,0.25,0.95,0,-0.75
-0.064401,0.25328,-0.001854,-0.001105,1,0.252,0.95,0,-0.748
-0.062581,0.26181,-0.0017562,-0.0012389,1,0.254,0.95,0,-0.746
-0.060025,0.27261,-0.001557,-0.0014124,1,0.256,0.95,0,-0.744
-0.057469,0.28342,-0.0013577,-0.001586,1,0.258,0.95,0,-0.742
-0.054913,0.29422,-0.0011584,-0.0017595,1,0.26,0.95,0,-0.74
-0.051267,0.30639,-0.00084361,-0.0019555,1,0.262,0.95,0,-0.738
-0.047621,0.31855,-0.00052886,-0.0021515,1,0.264,0.95,0,-0.736
-0.043975,0.33072,-0.00021411,-0.0023475,1,0.266,0.95,0,-0.734
-0.039671,0.34282,0.00012647,-0.0025281,1,0.268,0.95,0,-0.732
-0.035038,0.35487,0.00047995,-0.002701,1,0.27,0.95,0,-0.73
-0.030405,0.36693,0.00083344,-0.0028739,1,0.272,0.95,0,-0.728
-0.025493,0.37879,0.001172,-0.0030248,1,0.274,0.95,0,-0.726
-0.020024,0.39027,0.0014808,-0.0031317,1,0.276,0.95,0,-0.724
-0.014555,0.40175,0.0017896,-0.0032386,1,0.278,0.95,0,-0.722
-0.0090856,0.41323,0.0020984,-0.0033455,1,0.28,0.95,0,-0.72
-0.0029425,0.42459,0.0023055,-0.0033566,1,0.282,0.95,0,-0.718
0.0032006,0.43595,0.0025125,-0.0033676,1,0.284,0.95,0,-0.716
0.0093438,0.44731,0.0027196,-0.0033787,1,0.286,0.95,0,-0.714
0.015793,0.45913,0.0028538,-0.0033189,1,0.288,0.95,0,-0.712
0.022395,0.47119,0.0029515,-0.0032236,1,0.29,0.95,0,-0.71
0.028996,0.48325,0.0030493,-0.0031282,1,0.292,0.95,0,-0.708
0.035614,0.49563,0.0031232,-0.0030029,1,0.294,0.95,0,-0.706
0.042263,0.50865,0.0031491,-0.0028177,1,0.296,0.95,0,-0.704
0.048912,0.52166,0.0031751,-0.0026325,1,0.298,0.95,0,-0.702
0.055561,0.53468,0.0032011,-0.0024472,1,0.3,0.95,0,-0.7
0.06147,0.54734,0.0032145,-0.0022257,1,0.302,0.95,0,-0.698
0.067379,0.56001,0.0032278,-0.0020041,1,0.304,0.95,0,-0.696
0.073288,0.57267,0.0032412,-0.0017826,1,0.306,0.95,0,-0.694
0.077937,0.58307,0.0032589,-0.0015947,1,0.308,0.95,0,-0.692
0.081956,0.59234,0.003279,-0.0014236,1,0.31,0.95,0,-0.69
0.085975,0.60161,0.003299,-0.0012525,1,0.312,0.95,0,-0.688
0.089016,0.60869,0.0033035,-0.0011252,1,0.314,0.95,0,-0.686
0.090101,0.61138,0.0032769,-0.0010854,1,0.316,0.95,0,-0.684
0.091185,0.61406,0.0032504,-0.0010457,1,0.318,0.95,0,-0.682
0.09227,0.61675,0.0032238,-0.0010059,1,0.32,0.95,0,-0.68
