"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.058787,0.27239,-0.0014138,-0.028053,1,0.402,0.95,0,-0.598
-0.060699,0.26323,-0.0014555,-0.027886,1,0.404,0.95,0,-0.596
-0.062612,0.25406,-0.0014973,-0.027718,1,0.406,0.95,0,-0.594
-0.064524,0.2449,-0.001539,-0.02755,1,0.408,0.95,0,-0.592
-0.066437,0.23573,-0.0015807,-0.027382,1,0.41,0.95,0,-0.59
-0.067113,0.23199,-0.0017513,-0.027309,1,0.412,0.95,0,-0.588
-0.067789,0.22826,-0.001922,-0.027235,1,0.414,0.95,0,-0.586
-0.068465,0.22452,-0.0020926,-0.027162,1,0.416,0.95,0,-0.584
-0.069141,0.22078,-0.0022632,-0.027088,1,0.418,0.95,0,-0.582
-0.069817,0.21704,-0.0024339,-0.027015,1,0.42,0.95,0,-0.58
-0.069351,0.22052,-0.0026106,-0.027059,1,0.422,0.95,0,-0.578
-0.068885,0.224,-0.0027873,-0.027103,1,0.424,0.95,0,-0.576
-0.06842,0.22748,-0.002964,-0.027147,1,0.426,0.95,0,-0.574
-0.067954,0.23096,-0.0031408,-0.027191,1,0.428,0.95,0,-0.572
-0.067489,0.23445,-0.0033175,-0.027235,1,0.43,0.95,0,-0.57
-0.065939,0.24352,-0.0033582,-0.027382,1,0.432,0.95,0,-0.568
-0.064389,0.2526,-0.0033989,-0.027529,1,0.434,0.95,0,-0.566
-0.06284,0.26168,-0.0034397,-0.027675,1,0.436,0.95,0,-0.564
-0.06129,0.27076,-0.0034804,-0.027822,1,0.438,0.95,0,-0.562
-0.05974,0.27984,-0.0035211,-0.027969,1,0.44,0.95,0,-0.56
-0.057186,0.29098,-0.0033673,-0.02817,1,0.442,0.95,0,-0.558
-0.054631,0.30213,-0.0032135,-0.028371,1,0.444,0.95,0,-0.556
-0.052077,0.31327,-0.0030597,-0.028572,1,0.446,0.95,0,-0.554
-0.049523,0.32442,-0.0029059,-0.028773,1,0.448,0.95,0,-0.552
-0.046968,0.33556,-0.0027521,-0.028974,1,0.45,0.95,0,-0.55
-0.043588,0.34606,-0.0024429,-0.029162,1,0.452,0.95,0,-0.548
-0.040208,0.35655,-0.0021337,-0.029351,1,0.454,0.95,0,-0.546
-0.036827,0.36705,-0.0018245,-0.029539,1,0.456,0.95,0,-0.544
-0.033447,0.37754,-0.0015153,-0.029727,1,0.458,0.95,0,-0.542
-0.030067,0.38804,-0.0012062,-0.029915,1,0.46,0.95,0,-0.54
-0.026046,0.39714,-0.00086308,-0.030033,1,0.462,0.95,0,-0.538
-0.022025,0.40625,-0.00052,-0.03015,1,0.464,0.95,0,-0.536
-0.018004,0.41536,-0.00017691,-0.030268,1,0.466,0.95,0,-0.534
-0.013983,0.42447,0.00016616,-0.030386,1,0.468,0.95,0,-0.532
-0.0099625,0.43357,0.00050925,-0.030503,1,0.47,0.95,0,-0.53
-0.0054219,0.44213,0.00072605,-0.030508,1,0.472,0.95,0,-0.528
-0.00088132,0.45069,0.00094285,-0.030513,1,0.474,0.95,0,-0.526
0.0036594,0.45925,0.0011597,-0.030518,1,0.476,0.95,0,-0.524
0.0082,0.46781,0.0013765,-0.030523,1,0.478,0.95,0,-0.522
0.012741,0.47638,0.0015933,-0.030528,1,0.48,0.95,0,-0.52
0.017779,0.48588,0.0015508,-0.0304,1,0.482,0.95,0,-0.518
0.022818,0.49539,0.0015084,-0.030272,1,0.484,0.95,0,-0.516
0.027857,0.5049,0.0014659,-0.030145,1,0.486,0.95,0,-0.514
0.032895,0.5144,0.0014235,-0.030017,1,0.488,0.95,0,-0.512
0.037934,0.52391,0.001381,-0.029889,1,0.49,0.95,0,-0.51
0.043193,0.53488,0.0010353,-0.029652,1,0.492,0.95,0,-0.508
0.048452,0.54584,0.00068962,-0.029416,1,0.494,0.95,0,-0.506
0.053711,0.55681,0.00034391,-0.029179,1,0.496,0.95,0,-0.504
0.05897,0.56778,-1.8099e-06,-0.028943,1,0.498,0.95,0,-0.502
0.064229,0.57874,-0.00034752,-0.028706,1,0.5,0.95,0,-0.5
0.068514,0.58846,-0.00086908,-0.028463,1,0.502,0.95,0,-0.498
0.0728,0.59817,-0.0013906,-0.028219,1,0.504,0.95,0,-0.496
0.077086,0.60788,-0.0019122,-0.027975,1,0.506,0.95,0,-0.494
0.081372,0.61759,-0.0024337,-0.027732,1,0.508,0.95,0,-0.492
0.085658,0.62731,-0.0029553,-0.027488,1,0.51,0.95,0,-0.49
0.087053,0.63026,-0.0033952,-0.027395,1,0.512,0.95,0,-0.488
0.088448,0.63322,-0.0038351,-0.027302,1,0.514,0.95,0,-0.486
0.089843,0.63618,-0.004275,-0.027209,1,0.516,0.95,0,-0.484
0.091237,0.63914,-0.0047149,-0.027116,1,0.518,0.95,0,-0.482
0.092632,0.64209,-0.0051549,-0.027023,1,0.52,0.95,0,-0.48
0.090212,0.63564,-0.0053329,-0.027153,1,0.522,0.95,0,-0.478
0.087791,0.62919,-0.005511,-0.027283,1,0.524,0.95,0,-0.476
0.08537,0.62274,-0.005689,-0.027413,1,0.526,0.95,0,-0.474
0.082949,0.61629,-0.0058671,-0.027543,1,0.528,0.95,0,-0.472
0.080528,0.60984,-0.0060452,-0.027673,1,0.53,0.95,0,-0.47
0.075547,0.59789,-0.0060021,-0.027915,1,0.532,0.95,0,-0.468
0.070566,0.58595,-0.0059591,-0.028157,1,0.534,0.95,0,-0.466
0.065584,0.57401,-0.005916,-0.028398,1,0.536,0.95,0,-0.464
0.060603,0.56206,-0.005873,-0.02864,1,0.538,0.95,0,-0.462
0.055622,0.55012,-0.0058299,-0.028882,1,0.54,0.95,0,-0.46
0.050129,0.53827,-0.0056259,-0.029071,1,0.542,0.95,0,-0.458
0.044636,0.52642,-0.0054218,-0.029259,1,0.544,0.95,0,-0.456
0.039143,0.51457,-0.0052177,-0.029448,1,0.546,0.95,0,-0.454
0.03365,0.50272,-0.0050136,-0.029637,1,0.548,0.95,0,-0.452
0.028158,0.49088,-0.0048095,-0.029826,1,0.55,0.95,0,-0.45
0.023269,0.48093,-0.0044006,-0.029888,1,0.552,0.95,0,-0.448
0.018379,0.47099,-0.0039917,-0.029951,1,0.554,0.95,0,-0.446
0.01349,0.46104,-0.0035829,-0.030014,1,0.556,0.95,0,-0.444
0.0086011,0.4511,-0.003174,-0.030076,1,0.558,0.95,0,-0.442
0.003712,0.44116,-0.0027651,-0.030139,1,0.56,0.95,0,-0.44
-0.00036932,0.43202,-0.0021649,-0.030081,1,0.562,0.95,0,-0.438
-0.0044506,0.42289,-0.0015647,-0.030022,1,0.564,0.95,0,-0.436
-0.008532,0.41376,-0.00096448,-0.029964,1,0.566,0.95,0,-0.434
-0.012613,0.40462,-0.00036429,-0.029906,1,0.568,0.95,0,-0.432
-0.016695,0.39549,0.00023591,-0.029847,1,0.57,0.95,0,-0.43
-0.019956,0.38587,0.00090694,-0.029704,1,0.572,0.95,0,-0.428
-0.023217,0.37625,0.001578,-0.029561,1,0.574,0.95,0,-0.426
-0.026478,0.36663,0.002249,-0.029419,1,0.576,0.95,0,-0.424
-0.029739,0.35701,0.00292,-0.029276,1,0.578,0.95,0,-0.422
-0.033,0.34739,0.0035911,-0.029133,1,0.58,0.95,0,-0.42
-0.035397,0.33695,0.0041845,-0.028952,1,0.582,0.95,0,-0.418
-0.037794,0.32651,0.0047779,-0.028771,1,0.584,0.95,0,-0.416
-0.040191,0.31606,0.0053713,-0.028591,1,0.586,0.95,0,-0.414
-0.042588,0.30562,0.0059647,-0.02841,1,0.588,0.95,0,-0.412
-0.044985,0.29518,0.0065581,-0.028229,1,0.59,0.95,0,-0.41
-0.046516,0.28483,0.0069579,-0.02806,1,0.592,0.95,0,-0.408
-0.048047,0.27448,0.0073577,-0.027892,1,0.594,0.95,0,-0.406
-0.049577,0.26413,0.0077574,-0.027723,1,0.596,0.95,0,-0.404
-0.051108,0.25378,0.0081572,-0.027555,1,0.598,0.95,0,-0.402
-0.052639,0.24343,0.008557,-0.027386,1,0.6,0.95,0,-0.4
-0.053405,0.2352,0.0086908,-0.027272,1,0.602,0.95,0,-0.398
-0.054172,0.22697,0.0088246,-0.027157,1,0.604,0.95,0,-0.396
-0.054938,0.21874,0.0089584,-0.027042,1,0.606,0.95,0,-0.394
-0.055704,0.21051,0.0090923,-0.026927,1,0.608,0.95,0,-0.392
-0.056471,0.20228,0.0092261,-0.026813,1,0.61,0.95,0,-0.39
-0.056663,0.19845,0.009094,-0.026773,1,0.612,0.95,0,-0.388
-0.056856,0.19461,0.0089619,-0.026733,1,0.614,0.95,0,-0.386
-0.057049,0.19078,0.0088297,-0.026694,1,0.616,0.95,0,-0.384
-0.057242,0.18694,0.0086976,-0.026654,1,0.618,0.95,0,-0.382
-0.057434,0.18311,0.0085655,-0.026614,1,0.62,0.95,0,-0.38
-0.057206,0.18476,0.0082664,-0.026653,1,0.622,0.95,0,-0.378
-0.056977,0.18641,0.0079673,-0.026692,1,0.624,0.95,0,-0.376
-0.056748,0.18807,0.0076683,-0.026731,1,0.626,0.95,0,-0.374
-0.056519,0.18972,0.0073692,-0.02677,1,0.628,0.95,0,-0.372
-0.056291,0.19138,0.0070701,-0.026808,1,0.63,0.95,0,-0.37
-0.055658,0.19771,0.0067571,-0.026919,1,0.632,0.95,0,-0.368
-0.055025,0.20404,0.0064442,-0.02703,1,0.634,0.95,0,-0.366
-0.054392,0.21037,0.0061313,-0.027141,1,0.636,0.95,0,-0.364
-0.053759,0.2167,0.0058183,-0.027252,1,0.638,0.95,0,-0.362
-0.053127,0.22303,0.0055054,-0.027363,1,0.64,0.95,0,-0.36
-0.052006,0.23199,0.0053125,-0.027528,1,0.642,0.95,0,-0.358
