"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.096486,0.60652,0.00014597,0.0011356,1,0.226,0.95,0,-0.774
0.096184,0.60569,-8.4713e-05,0.001111,1,0.228,0.95,0,-0.772
0.093942,0.60072,-0.00034134,0.0010058,1,0.23,0.95,0,-0.77
0.0917,0.59575,-0.00059795,0.00090057,1,0.232,0.95,0,-0.768
0.089459,0.59078,-0.00085458,0.00079537,1,0.234,0.95,0,-0.766
0.087217,0.58581,-0.0011112,0.00069017,1,0.236,0.95,0,-0.764
0.084975,0.58084,-0.0013678,0.00058498,1,0.238,0.95,0,-0.762
0.082734,0.57588,-0.0016244,0.00047978,1,0.24,0.95,0,-0.76
0.076652,0.56355,-0.0018823,0.00027757,1,0.242,0.95,0,-0.758
0.070571,0.55122,-0.0021402,7.535e-05,1,0.244,0.95,0,-0.756
0.06449,0.53889,-0.002398,-0.00012686,1,0.246,0.95,0,-0.754
0.058408,0.52656,-0.0026559,-0.00032908,1,0.248,0.95,0,-0.752
0.052327,0.51423,-0.0029137,-0.00053129,1,0.25,0.95,0,-0.75
0.046246,0.5019,-0.0031716,-0.0007335,1,0.252,0.95,0,-0.748
0.040037,0.48971,-0.0033951,-0.00088694,1,0.254,0.95,0,-0.746
0.033574,0.47779,-0.0035501,-0.00094284,1,0.256,0.95,0,-0.744
0.027111,0.46587,-0.003705,-0.00099873,1,0.258,0.95,0,-0.742
0.020648,0.45395,-0.0038599,-0.0010546,1,0.26,0.95,0,-0.74
0.014185,0.44203,-0.0040148,-0.0011105,1,0.262,0.95,0,-0.738
0.0077226,0.43011,-0.0041698,-0.0011664,1,0.264,0.95,0,-0.736
0.0012599,0.41819,-0.0043247,-0.0012223,1,0.266,0.95,0,-0.734
-0.0044707,0.40684,-0.0043276,-0.0011531,1,0.268,0.95,0,-0.732
-0.0098348,0.39577,-0.0042545,-0.0010213,1,0.27,0.95,0,-0.73
-0.015199,0.38469,-0.0041813,-0.00088958,1,0.272,0.95,0,-0.728
-0.020563,0.37362,-0.0041082,-0.00075783,1,0.274,0.95,0,-0.726
-0.025928,0.36255,-0.0040351,-0.00062607,1,0.276,0.95,0,-0.724
-0.031292,0.35147,-0.003962,-0.00049431,1,0.278,0.95,0,-0.722
-0.036656,0.3404,-0.0038888,-0.00036255,1,0.28,0.95,0,-0.72
-0.040365,0.32967,-0.0037645,-0.00015603,1,0.282,0.95,0,-0.718
-0.044075,0.31894,-0.0036401,5.0479e-05,1,0.284,0.95,0,-0.716
-0.047785,0.3082,-0.0035158,0.000257,1,0.286,0.95,0,-0.714
-0.051494,0.29747,-0.0033914,0.00046351,1,0.288,0.95,0,-0.712
-0.055204,0.28674,-0.0032671,0.00067003,1,0.29,0.95,0,-0.71
-0.058913,0.27601,-0.0031427,0.00087654,1,0.292,0.95,0,-0.708
-0.061922,0.26681,-0.0030446,0.0010539,1,0.294,0.95,0,-0.706
-0.063532,0.26069,-0.0029989,0.0011729,1,0.296,0.95,0,-0.704
-0.065141,0.25457,-0.0029533,0.0012919,1,0.298,0.95,0,-0.702
-0.06675,0.24845,-0.0029076,0.0014109,1,0.3,0.95,0,-0.7
-0.068359,0.24233,-0.0028619,0.0015299,1,0.302,0.95,0,-0.698
-0.069968,0.2362,-0.0028162,0.0016489,1,0.304,0.95,0,-0.696
-0.071577,0.23008,-0.0027705,0.0017679,1,0.306,0.95,0,-0.694
-0.071658,0.22999,-0.002689,0.0017686,1,0.308,0.95,0,-0.692
-0.070974,0.23292,-0.0025896,0.00171,1,0.31,0.95,0,-0.69
-0.07029,0.23585,-0.0024902,0.0016515,1,0.312,0.95,0,-0.688
-0.069606,0.23878,-0.0023907,0.0015929,1,0.314,0.95,0,-0.686
-0.068922,0.24171,-0.0022913,0.0015344,1,0.316,0.95,0,-0.684
-0.068239,0.24464,-0.0021919,0.0014758,1,0.318,0.95,0,-0.682
-0.067555,0.24757,-0.0020924,0.0014173,1,0.32,0.95,0,-0.68
-0.064573,0.25752,-0.00181,0.001225,1,0.322,0.95,0,-0.678
-0.061592,0.26746,-0.0015275,0.0010326,1,0.324,0.95,0,-0.676
-0.05861,0.27741,-0.001245,0.00084032,1,0.326,0.95,0,-0.674
-0.055629,0.28736,-0.00096255,0.00064799,1,0.328,0.95,0,-0.672
-0.052647,0.2973,-0.00068008,0.00045567,1,0.33,0.95,0,-0.67
-0.049665,0.30725,-0.00039761,0.00026334,1,0.332,0.95,0,-0.668
-0.046014,0.31773,-0.00010815,7.6098e-05,1,0.334,0.95,0,-0.666
-0.041023,0.32929,0.00019531,-0.00010099,1,0.336,0.95,0,-0.664
-0.036031,0.34085,0.00049876,-0.00027806,1,0.338,0.95,0,-0.662
-0.03104,0.35241,0.0008022,-0.00045514,1,0.34,0.95,0,-0.66
-0.026049,0.36397,0.0011057,-0.00063223,1,0.342,0.95,0,-0.658
-0.021058,0.37553,0.0014091,-0.0008093,1,0.344,0.95,0,-0.656
-0.016066,0.38709,0.0017126,-0.00098639,1,0.346,0.95,0,-0.654
-0.010101,0.39889,0.0018347,-0.0010493,1,0.348,0.95,0,-0.652
-0.0036485,0.41082,0.0018662,-0.0010552,1,0.35,0.95,0,-0.65
0.0028039,0.42275,0.0018978,-0.0010611,1,0.352,0.95,0,-0.648
0.0092563,0.43467,0.0019293,-0.001067,1,0.354,0.95,0,-0.646
0.015709,0.4466,0.0019608,-0.0010729,1,0.356,0.95,0,-0.644
0.022161,0.45853,0.0019923,-0.0010788,1,0.358,0.95,0,-0.642
0.028614,0.47045,0.0020239,-0.0010847,1,0.36,0.95,0,-0.64
0.035308,0.48347,0.001897,-0.00090373,1,0.362,0.95,0,-0.638
0.042003,0.49648,0.0017701,-0.0007228,1,0.364,0.95,0,-0.636
0.048698,0.50949,0.0016432,-0.00054187,1,0.366,0.95,0,-0.634
0.055392,0.52251,0.0015164,-0.00036094,1,0.368,0.95,0,-0.632
0.062087,0.53552,0.0013895,-0.00018001,1,0.37,0.95,0,-0.63
0.068782,0.54853,0.0012626,9.1626e-07,1,0.372,0.95,0,-0.628
0.074496,0.55988,0.0011115,0.00017221,1,0.374,0.95,0,-0.626
