"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.064847,0.55883,0.0033941,0.0042911,1,0.248,0.95,0,-0.752
0.060344,0.55047,0.0034433,0.004069,1,0.25,0.95,0,-0.75
0.055841,0.54211,0.0034925,0.0038469,1,0.252,0.95,0,-0.748
0.051337,0.53376,0.0035417,0.0036247,1,0.254,0.95,0,-0.746
0.046834,0.5254,0.0035909,0.0034026,1,0.256,0.95,0,-0.744
0.04233,0.51704,0.0036401,0.0031805,1,0.258,0.95,0,-0.742
0.037827,0.50869,0.0036892,0.0029584,1,0.26,0.95,0,-0.74
0.031915,0.49553,0.0034317,0.0028975,1,0.262,0.95,0,-0.738
0.026002,0.48237,0.0031742,0.0028367,1,0.264,0.95,0,-0.736
0.02009,0.46922,0.0029167,0.0027759,1,0.266,0.95,0,-0.734
0.014177,0.45606,0.0026591,0.0027151,1,0.268,0.95,0,-0.732
0.0082651,0.44291,0.0024016,0.0026543,1,0.27,0.95,0,-0.73
0.0023526,0.42975,0.0021441,0.0025934,1,0.272,0.95,0,-0.728
-0.0035597,0.41659,0.0018866,0.0025326,1,0.274,0.95,0,-0.726
-0.0094723,0.40344,0.001629,0.0024718,1,0.276,0.95,0,-0.724
-0.015385,0.39028,0.0013715,0.002411,1,0.278,0.95,0,-0.722
-0.021297,0.37712,0.001114,0.0023502,1,0.28,0.95,0,-0.72
-0.025439,0.36518,0.00077122,0.0025215,1,0.282,0.95,0,-0.718
-0.02958,0.35324,0.00042845,0.0026928,1,0.284,0.95,0,-0.716
-0.033722,0.3413,8.5681e-05,0.0028642,1,0.286,0.95,0,-0.714
-0.037864,0.32936,-0.00025708,0.0030355,1,0.288,0.95,0,-0.712
-0.042005,0.31742,-0.00059985,0.0032069,1,0.29,0.95,0,-0.71
-0.046147,0.30548,-0.00094262,0.0033782,1,0.292,0.95,0,-0.708
-0.050289,0.29354,-0.0012854,0.0035496,1,0.294,0.95,0,-0.706
-0.05443,0.2816,-0.0016282,0.0037209,1,0.296,0.95,0,-0.704
-0.058572,0.26966,-0.0019709,0.0038923,1,0.298,0.95,0,-0.702
-0.062714,0.25772,-0.0023137,0.0040636,1,0.3,0.95,0,-0.7
-0.064091,0.25296,-0.002176,0.0041688,1,0.302,0.95,0,-0.698
-0.065468,0.2482,-0.0020382,0.004274,1,0.304,0.95,0,-0.696
-0.066845,0.24344,-0.0019005,0.0043792,1,0.306,0.95,0,-0.694
-0.068222,0.23867,-0.0017628,0.0044844,1,0.308,0.95,0,-0.692
-0.069599,0.23391,-0.001625,0.0045896,1,0.31,0.95,0,-0.69
-0.070976,0.22915,-0.0014873,0.0046948,1,0.312,0.95,0,-0.688
-0.072353,0.22439,-0.0013496,0.0048,1,0.314,0.95,0,-0.686
-0.073731,0.21963,-0.0012119,0.0049052,1,0.316,0.95,0,-0.684
-0.075108,0.21487,-0.0010741,0.0050104,1,0.318,0.95,0,-0.682
-0.076485,0.21011,-0.00093639,0.0051156,1,0.32,0.95,0,-0.68
-0.074613,0.21607,-0.00072555,0.0050305,1,0.322,0.95,0,-0.678
-0.072742,0.22204,-0.00051471,0.0049453,1,0.324,0.95,0,-0.676
-0.07087,0.228,-0.00030388,0.0048602,1,0.326,0.95,0,-0.674
-0.068999,0.23397,-9.3032e-05,0.0047751,1,0.328,0.95,0,-0.672
-0.067128,0.23993,0.0001178,0.0046899,1,0.33,0.95,0,-0.67
-0.065256,0.24589,0.00032865,0.0046048,1,0.332,0.95,0,-0.668
-0.063385,0.25186,0.00053949,0.0045197,1,0.334,0.95,0,-0.666
-0.061513,0.25782,0.00075033,0.0044345,1,0.336,0.95,0,-0.664
-0.059642,0.26379,0.00096117,0.0043494,1,0.338,0.95,0,-0.662
-0.05777,0.26975,0.001172,0.0042643,1,0.34,0.95,0,-0.66
-0.053222,0.28241,0.0010195,0.0041253,1,0.342,0.95,0,-0.658
-0.048673,0.29507,0.00086696,0.0039864,1,0.344,0.95,0,-0.656
-0.044124,0.30773,0.00071443,0.0038474,1,0.346,0.95,0,-0.654
-0.039576,0.32039,0.00056191,0.0037085,1,0.348,0.95,0,-0.652
-0.035027,0.33304,0.00040939,0.0035695,1,0.35,0.95,0,-0.65
-0.030478,0.3457,0.00025687,0.0034306,1,0.352,0.95,0,-0.648
-0.02593,0.35836,0.00010434,0.0032917,1,0.354,0.95,0,-0.646
-0.021381,0.37102,-4.818e-05,0.0031527,1,0.356,0.95,0,-0.644
-0.016832,0.38368,-0.0002007,0.0030138,1,0.358,0.95,0,-0.642
-0.012284,0.39634,-0.00035323,0.0028748,1,0.36,0.95,0,-0.64
-0.006081,0.40979,-0.00016299,0.0029772,1,0.362,0.95,0,-0.638
0.00012178,0.42325,2.7256e-05,0.0030795,1,0.364,0.95,0,-0.636
0.0063243,0.43671,0.00021749,0.0031819,1,0.366,0.95,0,-0.634
0.012527,0.45016,0.00040773,0.0032842,1,0.368,0.95,0,-0.632
0.01873,0.46362,0.00059797,0.0033866,1,0.37,0.95,0,-0.63
0.024932,0.47707,0.00078821,0.0034889,1,0.372,0.95,0,-0.628
0.031135,0.49053,0.00097846,0.0035913,1,0.374,0.95,0,-0.626
0.037338,0.50399,0.0011687,0.0036937,1,0.376,0.95,0,-0.624
0.04354,0.51744,0.0013589,0.003796,1,0.378,0.95,0,-0.622
0.049743,0.5309,0.0015492,0.0038984,1,0.38,0.95,0,-0.62
0.053412,0.53768,0.0018726,0.0040483,1,0.382,0.95,0,-0.618
0.057081,0.54447,0.002196,0.0041982,1,0.384,0.95,0,-0.616
0.060751,0.55126,0.0025194,0.0043481,1,0.386,0.95,0,-0.614
0.06442,0.55805,0.0028428,0.004498,1,0.388,0.95,0,-0.612
0.068089,0.56483,0.0031662,0.0046479,1,0.39,0.95,0,-0.61
0.071759,0.57162,0.0034896,0.0047978,1,0.392,0.95,0,-0.608
0.075428,0.57841,0.003813,0.0049478,1,0.394,0.95,0,-0.606
0.079097,0.58519,0.0041364,0.0050977,1,0.396,0.95,0,-0.604
0.082767,0.59198,0.0044598,0.0052476,1,0.398,0.95,0,-0.602
0.086436,0.59877,0.0047832,0.0053975,1,0.4,0.95,0,-0.6
0.083612,0.59366,0.0048963,0.0052079,1,0.402,0.95,0,-0.598
0.080789,0.58856,0.0050094,0.0050184,1,0.404,0.95,0,-0.596
0.077965,0.58346,0.0051226,0.0048288,1,0.406,0.95,0,-0.594
0.075142,0.57836,0.0052357,0.0046393,1,0.408,0.95,0,-0.592
0.072319,0.57326,0.0053488,0.0044497,1,0.41,0.95,0,-0.59
0.069495,0.56816,0.005462,0.0042602,1,0.412,0.95,0,-0.588
0.066672,0.56305,0.0055751,0.0040706,1,0.414,0.95,0,-0.586
0.063848,0.55795,0.0056882,0.003881,1,0.416,0.95,0,-0.584
0.061025,0.55285,0.0058014,0.0036915,1,0.418,0.95,0,-0.582
0.058202,0.54775,0.0059145,0.0035019,1,0.42,0.95,0,-0.58
0.05235,0.53585,0.0056759,0.0033295,1,0.422,0.95,0,-0.578
0.046499,0.52396,0.0054373,0.0031571,1,0.424,0.95,0,-0.576
0.040647,0.51207,0.0051987,0.0029846,1,0.426,0.95,0,-0.574
0.034796,0.50017,0.0049601,0.0028122,1,0.428,0.95,0,-0.572
0.028944,0.48828,0.0047215,0.0026398,1,0.43,0.95,0,-0.57
0.023092,0.47638,0.0044829,0.0024673,1,0.432,0.95,0,-0.568
0.017241,0.46449,0.0042443,0.0022949,1,0.434,0.95,0,-0.566
0.011389,0.45259,0.0040057,0.0021225,1,0.436,0.95,0,-0.564
0.0055377,0.4407,0.0037671,0.00195,1,0.438,0.95,0,-0.562
-0.00031379,0.42881,0.0035285,0.0017776,1,0.44,0.95,0,-0.56
-0.0049611,0.41643,0.0029207,0.0018956,1,0.442,0.95,0,-0.558
-0.0096085,0.40405,0.0023128,0.0020136,1,0.444,0.95,0,-0.556
-0.014256,0.39167,0.001705,0.0021315,1,0.446,0.95,0,-0.554
-0.018903,0.37929,0.0010972,0.0022495,1,0.448,0.95,0,-0.552
-0.023551,0.36692,0.00048933,0.0023675,1,0.45,0.95,0,-0.55
-0.028198,0.35454,-0.00011851,0.0024855,1,0.452,0.95,0,-0.548
-0.032845,0.34216,-0.00072633,0.0026035,1,0.454,0.95,0,-0.546
-0.037493,0.32978,-0.0013342,0.0027214,1,0.456,0.95,0,-0.544
-0.04214,0.3174,-0.001942,0.0028394,1,0.458,0.95,0,-0.542
-0.046787,0.30503,-0.0025498,0.0029574,1,0.46,0.95,0,-0.54
-0.049461,0.29615,-0.0025513,0.0031361,1,0.462,0.95,0,-0.538
-0.052135,0.28728,-0.0025527,0.0033148,1,0.464,0.95,0,-0.536
-0.054809,0.27841,-0.0025542,0.0034935,1,0.466,0.95,0,-0.534
-0.057483,0.26954,-0.0025557,0.0036722,1,0.468,0.95,0,-0.532
-0.060157,0.26066,-0.0025571,0.0038509,1,0.47,0.95,0,-0.53
-0.06283,0.25179,-0.0025586,0.0040296,1,0.472,0.95,0,-0.528
-0.065504,0.24292,-0.0025601,0.0042082,1,0.474,0.95,0,-0.526
-0.068178,0.23405,-0.0025615,0.0043869,1,0.476,0.95,0,-0.524
-0.070852,0.22518,-0.002563,0.0045656,1,0.478,0.95,0,-0.522
-0.073526,0.2163,-0.0025645,0.0047443,1,0.48,0.95,0,-0.52
-0.073335,0.21661,-0.00232,0.0047734,1,0.482,0.95,0,-0.518
-0.073143,0.21692,-0.0020755,0.0048024,1,0.484,0.95,0,-0.516
-0.072952,0.21722,-0.001831,0.0048315,1,0.486,0.95,0,-0.514
-0.072761,0.21753,-0.0015866,0.0048606,1,0.488,0.95,0,-0.512
-0.07257,0.21783,-0.0013421,0.0048896,1,0.49,0.95,0,-0.51
-0.072378,0.21814,-0.0010976,0.0049187,1,0.492,0.95,0,-0.508
-0.072187,0.21844,-0.00085316,0.0049477,1,0.494,0.95,0,-0.506
-0.071996,0.21875,-0.0006087,0.0049768,1,0.496,0.95,0,-0.504
-0.071805,0.21906,-0.00036422,0.0050059,1,0.498,0.95,0,-0.502
-0.071614,0.21936,-0.00011975,0.0050349,1,0.5,0.95,0,-0.5
-0.068597,0.22885,5.1078e-05,0.0048955,1,0.502,0.95,0,-0.498
-0.06558,0.23834,0.00022191,0.0047561,1,0.504,0.95,0,-0.496
-0.062563,0.24784,0.00039274,0.0046167,1,0.506,0.95,0,-0.494
-0.059547,0.25733,0.00056357,0.0044773,1,0.508,0.95,0,-0.492
-0.05653,0.26682,0.00073441,0.0043379,1,0.51,0.95,0,-0.49
-0.053513,0.27631,0.00090524,0.0041985,1,0.512,0.95,0,-0.488
-0.050496,0.2858,0.0010761,0.0040591,1,0.514,0.95,0,-0.486
-0.04748,0.29529,0.0012469,0.0039197,1,0.516,0.95,0,-0.484
-0.044463,0.30479,0.0014177,0.0037803,1,0.518,0.95,0,-0.482
-0.041446,0.31428,0.0015886,0.0036409,1,0.52,0.95,0,-0.48
-0.03631,0.32754,0.001466,0.0035708,1,0.522,0.95,0,-0.478
-0.031174,0.34079,0.0013434,0.0035007,1,0.524,0.95,0,-0.476
-0.026038,0.35405,0.0012207,0.0034306,1,0.526,0.95,0,-0.474
-0.020902,0.36731,0.0010981,0.0033605,1,0.528,0.95,0,-0.472
-0.015766,0.38056,0.00097552,0.0032904,1,0.53,0.95,0,-0.47
-0.01063,0.39382,0.00085291,0.0032203,1,0.532,0.95,0,-0.468
-0.005494,0.40708,0.0007303,0.0031502,1,0.534,0.95,0,-0.466
-0.00035792,0.42034,0.00060769,0.0030801,1,0.536,0.95,0,-0.464
0.0047781,0.43359,0.00048509,0.00301,1,0.538,0.95,0,-0.462
0.0099141,0.44685,0.00036248,0.0029399,1,0.54,0.95,0,-0.46
0.015845,0.45879,0.00066282,0.0031157,1,0.542,0.95,0,-0.458
